Text,label
and @justlikeanovel: *raises hand rather gaily* One real gay man right here  darlings! HOLLA! #supergay,AG
oh man. the malls are a mess  it grosses me out. ohhh capitalist dogma  how i hate you,AG
"where'd ya put it? o btw: ""kick ass quote Copyright&#169; 2009 @abcd91 All Rights Reserved""",AG
It sucks to be done with exams n still be @ Mayag.,AG
Epic WINS for Fuck City&lt;3,AG
Has it snowed where you are?? I miss the damn snow. I haven't seen any in forever. Everyone has some snow but me :( lol,AG
aren't you just super special.  I will not know the sweetness of sleep until about 9 tonight. I hate grad school. I want out!,AG
fuck yes.  I hate them at work...,AG
Holy ass hell balls!!!  $260 for premium????  Fuck upgrading.  I will fucking cope with Basic,AG
but seriously...  WHY THE HELL ARE YOU STILL ONLINE????  Were you injured in god damn 'NAM or something???  GO!!!,AG
damn. Don't want to visit a country that doesn't allow passport smile. Just want to go to Cabo soon.,AG
I've never been to New York  and Peyton was an ass when the Chargers wanted to draft him  but I do love to win.,AG
damn.  did you buy bitchy too?,AG
then by all means  bitch away! haha.,AG
sucks that ppl will do anything to make a buck. i just love how your fans are calling them out. and i'm glad your iphone is safe.,AG
Let that pussy freeze. Rotten bitey little bastard.,AG
Dood! You just justified your MBA. I pity the sorry ass of that downtrodden employee whose manager you'll soon become.,AG
hehehe. mine pleasure. Btw I too so loves it  when people be presumptous pricksy wicksies! feel jolly nice for me ass to rub on.,AG
I've only lived a quarter of my life and no crisis so far... loser experience  yeah...couple of kinky pinky stuff-yeah. But crisis? Naa,AG
imagine a building. not any building...a fucking 300 acre building full of weed....not any weed...but Caucasian Monkey-fuck Weed!,AG
Ugh  twitter stop it  you fucking slut.,AG
HAHAHAHAHAHAHAHAHAHAHAHAHA (eww now thats fucking gross!) HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAAHAHAAHAHAAH,AG
cute video lexi u hve some of the of the weridest & cutest little toys i know wht u'll say (shut the fuck up ACH) haha,AG
Fuck the pics! @giove_dea WE WANT VIDS!!,AG
Hard to play because it is damn fucking awful,AG
you got that right! People stealing others' generators  & other stuff inside the homes when they know no one's home..sucks big time,AG
no grown man should include DIP in his sentence....lol...I know I'm hatin but fuck it I'm lookin @ snow..lol,AG
oh god  we have an icp display in our window  and weve been getting so many fucking juggalos and they smell sooo bad.,AG
"you should have her talk to @junsten about that. Similarly  he once told me  completely out of the blue  ""I'd hate to be a bird.""",AG
I nominate @PRsarahevans for a Shorty Award in #socialmedia because... Shes damn good at everything to do with Social Media.,AG
Captain Jean Luc Pic-card of the USS Enter-prize  Captain Jean Luc Pic-Y'KNOW WHAT? FUCK YOU  TEMPLESMITH!,AG
FUCK YOU RIGHT IN THE FILTHY PUCKERING SPHINCTER YOU CALL A SOUL!,AG
another downside to living in DSM but working in Indianola:  lunch meetups are usually not possible. :( damn isolation!!!,AG
"there's nothing better than listening to music on shuffle and hearing you say ""you bitch!"" randomly in the middle of it.",AG
I got it. How many damn websites do u have homie! Sheesh!,AG
U know they all the same dame spot! I bet ya'll got the same damn middle eastern type of cats cooking that crack up too!,AG
kno I check ur blog out! Alpha females vs being a bitch.....damn u be analyzing!,AG
haris i m trying to control my fat tummy did'nt eat from 2 days :D,AG
700. you glutinous bitch!,AG
Ok  you're starting to sell me on these vinyl toys (damn  that sounds bad),AG
So true  so true.  Lame ass people are now officially off my radar!!!! Bu-bye!,AG
lo thankyou.. will see you soon :) and i hav to send a mail to u damn!,AG
Have you tried 'fuck' and 'Fuck'? (yes  they are different),AG
Well  not unless he wants some hot Vulcan action.  It only happens once every seven years  but damn  is it worth it.,AG
damn i was hoping for some cash out of this... how bout 5 for pain and suffering lol,AG
that sucks... she should prolly just change her major lol,AG
that sucks... so are there plans to get back together? or are they done?,AG
you are a fatty fat fat,AG
you never posted your blog. and today is guest blog day. get with the program my slut pink zebra. LOL loveee you anyway!,AG
they're not gross. U shaddup u fat ass HATER!!! & yes I made them for mark & my son.,AG
no one likes every fat snack u do bitch! so shaddup ahahahahaha,AG
stop the hateration bitch! it's only gonna make that mohawk stand up rotf!!!,AG
ask him why he's jumping out of the window. And ask him hows he gonna do it in those tight ass jeans???,AG
Night Guy' is ALL motivated @ 11pm but he knows 'Morning Guy' is gonna hate him when Miss Emily arrives at 5:30am ;-) Night Tweets!,AG
OK but I'm telling you  it's going to be hard for me to fight my inner grammar nerd. I'll do it for the cause though ;),AG
mythbusters is a great and nerdy show. Embrace your inner nerd..no suprise they were on the launch of youtube live ha NERDZ ROOL,AG
"lol @ ""the bitch"". damn.",AG
damn. thats crazy early. i wont hit the city til 9:30 but i will be a few blocks from the spot.,AG
Slurpees are awesome. Damn  now I really really want one O.o,AG
"I can see it now. ""Listen  you cow-loving yahoos  just put all of the slurpee in this bag! What? Cups? I don't need fucking cups!",AG
i loved it  i laughed my ass off,AG
ahh  you might be on to something...damn techies,AG
The pig of shame? Lol! Is that like the aardvark of discontent?,AG
Still - it's damn moronic that media people can't access media - particularly media made by their own company!,AG
if anyone said Arial I'm gonna beat their ass.,AG
well find him and kick his butt too! I hate it when people take advantage of the mentally challenged.,AG
Tell her she says Bitch like it's a bad thing,AG
I did have a moment of seriously considering that. I mean... my Dirt Devil sucks. But I didn't plan on buying a new one soon,AG
Ugh! I hate when I get spam followers... They shouldn't count against our talley of actual followers... :-p,AG
You know what you are? You're like a big bear with claws and with fangs... big fucking teeth  man.,AG
Damn  you're totally geeking out on us tonite.,AG
the eagle w/ @leahsairy ... Decided 2 not do power lesbian night @ mecca & hang out w/ our real queer ppl 2night. gr8 indy band. Emo punk.,AG
we are so silly and pathetic and so fucking cool! You tellin me you choking made me choke! And I am sitting next to some girl w ...,AG
Let your hate for Gambit grow. Embrace it. Spread it.,AG
dig deep and find that special Christmas hate!,AG
I tried to rickroll my office christmas party last night but the damn band didn't know it!,AG
even though I was at the same lunch as you  we missed you at our end of the table! Need a damn smart phone! Coulda tweeted back.,AG
Smack a bitch? :-D,AG
rock  not the. He gives the emo populists limp wrist rocker throw.,AG
Already on the coffee. I love her  but hate the whole spite thing. Climbed right on top of me to do it!,AG
i feel fucking great get me another drink,AG
"You've got 5"" of snow?  Damn.  I'm jealous.",AG
It just sucks that so many use it as a crutch.,AG
They say I have the best ass this side of fourteenth street.,AG
yes i love the pillows  livejournal jrock rotations (get an lj  they're sick) and uhh fuck i dunno  twitter?? just the site,AG
ha not that creepy. because it's week 10 and I'm fucking stressed out as hell. I wish I could take a trip down there x.x,AG
Fuck  amen to that,AG
Aww... Dnt hate the weather  rain can be so soothing sometimes!^^ I still have one more test DD:,AG
I knw!!!!!  I hate that! D:,AG
Aww. Thanks dear. And I hate my gradeschool friends for ditching me. They forgot about me when we are suppose to be at her wake.=(,AG
yeah. i had to beg the stupid teacher. it was so gay.,AG
yeah we all call her a whore and shes all don't call me that! So i called her a slut. And she said im a tease! And i told her  ...,AG
told ya she was fat! she's loyal tho  she has this goin for her...,AG
if you tweet about that damn song one more time.... And its on the Scion double disc promo cd,AG
I have all th nerd at home and I'm a smart ass too. So I answered you,AG
u got me lemming for some laneige whitening shit! ive been breakin out lately n i need somethin to whiten my damn acne scars bleh,AG
you're not a twitter slut until you show us full frontal nudity... so until then you're just a tease =P,AG
haha... so you want to be a twitter slut... alright  fine... i'll be waiting for the moment you mature from a tease to a slut!,AG
and there were only 5 of us.. it was a night that i've already forgotten... damn the alcohol,AG
I like the verses to the song....just not that lame ass auto tuning nigga on the hook,AG
hold up nigga..u cant hate Jay-Z...might have to beat yo ass like that nigga did when that other guy said F Tupac...lmao,AG
way to damn hard,AG
"the explosion of social media into mainstream business.  We will see everyone joining Twitter  its the ""year of the nerd""",AG
but...but...to hate them is sin!!! just give me the ones you get angry with...i'll take care of them! hahaha,AG
DOGS LICK THEIR ASS...NEED I SAY MORE? DOG.,AG
No  I HATE those commercials! Just GROSS. *gag* Okay okay  you've got an hour before showtime. hehehe &#9829;,AG
it was a joke haha. i figured id be emo too since everyone is complaining on here,AG
It sucks though when you have nothing to do at 4AM and your roommate wants to sleep.,AG
o so the rumors are true i am OBESE! yea fat!,AG
girlfriend where the fuck did u find that photo! lmao!,AG
ur a damn fool lmao,AG
They're not my preference  but the app is so damn fast and thorough that I let it slide.,AG
Ha! Yeah  that caught my attention  too. Now wait & watch for Red Wings fans to freak. I'm gonna make popcorn for that show :),AG
Tell them you want YouTube to quit fucking with things that no one wants fucked with.,AG
No  you just piss out anything your body won't absorb.,AG
Doh! dont you hate it when that happens  I keep meaning to take a backup myself,AG
Damn he's doing sneeks for Nike and Louis Vuitton? Dude's gonna be rolling in dollar...,AG
Mate it is. In Newcastle it was -1  down Bath -6  it's fucking brassic cold,AG
"hate text talking""",AG
: And whilst on the subject  all Aussie drivers should be reminded KEEP LEFT UNLESS OVERTAKING. Damn middle lane owners club!,AG
less #damn-fridays  more #bad_wookie_pun,AG
women are fucking disgusting.,AG
you bet your sweet ass you will!,AG
dating a 4 year old? Damn. You're faster than me. I only caught 3 year olds name.,AG
will do when i get home  only time i heard it was warped though  fuck life!,AG
Man  why u live in NYC in that crazy ass weather. Move out to LA. It's nice EVERYDAY. NYC is soo over-rated! lol,AG
i got ur ticks  but yo ass ain't gonna come! lol,AG
Ugh  ok... I hate NYC also. Hmmm. thinking...We are having a Screening on the FOX Lot that week. Maybe u can roll through?,AG
stuff like building the forums is what I do when writing is kicking my ass  that's how I do it ;),AG
"Also  I caught that ""Gai-damn"" earlier  and I support it 100% ;)",AG
gee  i'd hate to see what you say about the family ;),AG
dude dont tell me what to do thats not your place. i do what i want. just chill the fuck out and worry about yourself.,AG
damn fine! The snow is gone thank god!,AG
That sucks.  Life can't really be that bad  right?  Chocolate does always help.,AG
i hate you :P happy birthday dude  good to know your enjoying it,AG
thats a good question.  most lawyers HATE that stuff.,AG
YOU STUPID WHORE I HOPE YOU ARE IN YOUR HOUSE WHEN I BURN DOWN YOUR HOUSE YOU STUPID WHORE WHY WOULDN'T YOU GO TO PROM WITH ME,AG
oh guess who got an australian shephard puppy today. note: NOT ME. the other roommate. yeah. another. fucking. dog.,AG
ummm. Ya. That's pretty damn pimp.,AG
as much as I hate the winter  those pics are beautiful. We've had insane-o storms like that in MO. Sucks so bad  esp sans power,AG
got delayed.  your ass kicking will have to wait.,AG
I know it sucks  but I'm actually envious of you.  Though I have orientation for a tutoring program on the 14th.  Did I tell you?,AG
it was just a joke man..i wasnt taking the piss out of anything.,AG
i hate your face sounds EXACTLY like something i would say.also reminds me of a drunk girl trying to fight me and,AG
i was spanked but do not  only because it makes my kid behave worse  so doesn't work. not a lot does work-kinda sucks too.,AG
I've been messing around with some of the beta releases. It murders every other WP version (widget panel still sucks though).,AG
"Are you laughing your ass off with all these ""juicy"" twits?",AG
yeah we do... damn this time difference *HUGS*,AG
OMG bundesliga and brasilian bossanova. This was worse than seeing your loved family dog licking his ass. I'm scarred,AG
hmm so thats suk your soul hate and reinvent you to get my dry cleaning hate?,AG
yep. I didn't think to go online and check calorie/fat count until AFTER dinner. Bummer.,AG
wow - mommy's little cheerleader! *must... not... take... the...piss......*,AG
lol.. that sucks..it's so nice in miami... catching that ocean breeze from the balcony....don't want to rub it in...lol,AG
oh hot damn!,AG
He can't hear you  his head's too far up his own ass.,AG
Prison Bitch is a sparkling addition to any resume.,AG
a constant receiver does not a giver make. Prepare to be Prison Bitch Blagojevich (new campaign slogan  it rhymes),AG
that sucks that you're sick. Sorry to hear that.,AG
No thanks. I don't want cable. I hate most TV shows. I really hate commercials. I get my news online. I'm good. :),AG
try telling your parents that you don't want to see them. see how well that fucking works out for you  yeah?,AG
Football. I hate it. It&#8217;s official  I&#8217;m bad luck.,AG
I fucking love Haunted.,AG
I didn't know you were an avid football watcher. Is that even football? I think it is. Fuck sports.,AG
lol kevin bought me damn near nothing and we dated for over 10 months. my life sucks.,AG
Yea it sucks!!,AG
Indeed. But the Collier conversation relationship head up your gleeful ass kumbaya stuff needs to be put out with the trash.,AG
yeah i am glad i have the next 2 days off.. I just have to get through xmas eve and the weekend afterwards. damn gift cards,AG
hot damn! did you get an iPhone too?,AG
aw  thanks. it's going better than yesterday  that's for damn sure. :-D,AG
no. i must have missed that one. damn. ;-),AG
have a safe flight.....damn now you make me want some jamba juice,AG
I got it for Wii  when I get back from my dad's we're gonna play and it will be so kick-ass.,AG
http://twitpic.com/xm6u - You have an inbox folder for CYA - Covering Your Ass?,AG
him and his damn tech stuff bwahaha,AG
i'm not emo. I'm fucking happy!,AG
well now I have to edit myself and you know how I hate that!,AG
if u get a stye is it from seeing a dog shitting or fucking?  And what do I do with my fingers?  Consult H if u need to.,AG
what does that say about me that I was laughing my ass of when I heard that. Rapping the word titties is just damn funny,AG
& I was there helping your ass pack to get on the plane. A tru friend - helping you track a sub sized weiner like fucking GPS,AG
you have officially been put on my bread stick mailing list. Fuck those rock republics and eat something already.,AG
i get that ha ha smart ass :p,AG
i feel pretty oh so pretty...i feel pretty and witty and gAY! Ha ha good times,AG
Yeah  I mean I know the plan and the creative are kick-ass. But sometimes clients have a warped view.,AG
Oh man  that sucks. @Vincentdooly can you help @dsmoore out?,AG
yea the weather sucks. At least you missed the 8 degree weather though lol.,AG
I do  but I'm an American. Hence  I'm a pussy.,AG
God.. that commute has to be a bitch dealing with.. driving back and forth from Raleigh to Fayetteville...,AG
I take full pride in being a nerd. Hahah.,AG
THAT'S AN UGLY ASS PICTURE!,AG
Pretty much  but now there will be less AIM errors! Weeeee  you can see that I don't type like a retard!,AG
My grandmother is a big bitch and my father's a fraking arsehole.,AG
you must be bored...you are a twitter whore today. ;),AG
man i'm jealous of your day! i'm also hooked on twitter. damn arv. like i needed another procrastinating tool like this.,AG
just don't eat a meal replacement bar.. I fucking threw up!!,AG
fuck duke!,AG
"what if their ""you"" really sucks? like  why be a wack person when you can be an imitation of a more cool person? i think this",AG
2 weeks? how am I gonna live without money for 2 fucking weeks?,AG
Well get your ass busy!,AG
Hi new friend! I like your personality.super cool:) Yeah I forgot it is like 9 am there..that sucks!,AG
damn that sucks..I hope you are ok now,AG
haha! No. We have a new stand up board at work and we have barstools to sit on. I hate them!,AG
Excited that yr friends get to see yr show. I hate them. ;) No  rly  I do. .....Sad that tonite is last show.  Hard to say goodbye?,AG
"Thanks. Nothing just watching ""Jack ass"". Are you having fun doing nothing over there?",AG
Well  that's upsetting. We can party it up over here. Jack's ass is quite enjoyable thank you,AG
Fuck. Well  you can for a low cost of 19.99 with shipping and handling. But that's only if you really want to.,AG
Fuck again. Call 1800QZAK. Then your problems will be solved. I might even get you a discount,AG
If you stay home to twitter and have a martini on NYE does that make you a loser?  don't answer that...  I don't want to know,AG
you're a fucking maniac.,AG
its ok decided not to go to fam party. going back to bed. wtf moon i hate you. wtf life. dead.,AG
HAHA WHYYYYY do you hate my school!? NOOOOOO :(:(:,AG
FUCK SUNDAY im super bummed.,AG
whelchers fuckin suck ass!,AG
some peoples drama just sucks!,AG
well that sux donkey dick. No interwebs is kinda a pain for ur work.,AG
Then she changed roles and she is a little less bitch from hell but still  her sting has too much barb.,AG
today feels like sunday.....damn lol,AG
Damn didnt even see that lol  : /,AG
HATE THAT...happened to me today i was like...YOUR WELCOME *cut eye* and walked back out lol,AG
i hate hate hate it with a passion!! lol...i know the calls are recorded i talk mad shyt down the phone LOL!!!,AG
don't you hate that?  Though I have so much product to make by the weekend I wish it was Tuesday.,AG
i think its a cultural fad.. starbucks coffee sucks and its wayy overpriced.,AG
i just deleted all the people that i have on my facebook off myspace Damn if everyone switched i could just delete the account,AG
no! I think UofA's navy jerseys on white pants rule.  And all red sucks. But seeing BYUs colors  I guess all red makes sense.,AG
here 2!Another big storm is blowing our way. I hope it waits until I'm home from work b4 it starts snowing. Hate driving in it!,AG
no i think you will hate it. Its a bunch of dirty work.,AG
the iced media party. Long ass day at the office  time for a drink or 3,AG
easy! keyshia sucks. It's pathetic when an actor makes a better album in his 3rd profession (act  stand up) than you do in your first,AG
@TheflyGIRL Done! But I must tell you  that negro got a hard ass head. My elbow hurts...,AG
LOL at the Razor Ramon shit. I surely was gonna Ultimate Warrior his ass. Shaking the ropes and the whole 9!,AG
You done started something! Got me all nostalgic and shit KNOWING good and damn well I got work to do...LOL,AG
@mekdot yo...heroes sucks!!! I loved season 1  despised 2 and feel like season 3 is a lousy high school special. BOO HISS BOO!!,AG
That sucks  they owe you much?,AG
Boo  to be fair they shouldn't give away your room. Kick their ass!,AG
Wow  that's bad-ass. You're like Stanley now. Well  even more so...,AG
lol figured. So anyway  anna is still being a bitch(sorry for the language) She doesnt want to go on the trip. So now onto plan B,AG
anna just has to ruin the holidays for me  just like every year. Damn you anna!,AG
rock out with ur cock out dude!!!,AG
that's a shame  I hate having to unfollow someone! :-P,AG
BIG FAT HARD HAWAIIAN DICK. Too much?,AG
i hate that too - i have blocked a few of stalker / serial networkers on fb too.  maybe they should tweet first?,AG
LOL - nah  that's just what we tell the loser guests that we usually toss down in the newsroom!! oh  wait...,AG
Israelis to Spanish FM ... Kiss my ass.,AG
No  but I'm saying that money that has gone into Gaza SHOULD be feeding people  not waging war and breding hate.,AG
I had a dream involving a rhino chasing me because of my polo cologne. Everyone says it represents a fat woman. My life sucks.,AG
Taking the piss = talking trash  perhaps,AG
& @babysinead that dude is a fucking PSYCHO. i turned down working for him and he told ppl that I DID and that i was TROUBLE.,AG
& @babysinead i've never even met him in person. he's a fucking douche.,AG
I get that too! It sucks!,AG
hey fag why you gotta ask the whole world!? j/k your awesome,AG
gotta love the gay kid who was drumming trying to get his head in the pic tho HAHA,AG
Sheeyat....Freezing rain is no punk. Hope you didn't fall & bust your ass in the parking lot.... I almost did.,AG
Damn skippy. I should be dead 10 times over......,AG
Its foggy as hell here too. Looks like damn Seattle.,AG
lol penelope died?? thats so depressive  i have a compaq it sucks  i dont have a name for my computer tho : ),AG
Do you really have a big man ass?,AG
i don't know that bambi's ass is a nice place. LOL,AG
attention whore!,AG
I laughed so hard when I first heard because my gay husband (good friend  lol) says code 3 when he has an emergency,AG
http://twitpic.com/xipq - this only makes me hate having a verizon contract even more.  erg.,AG
no guarantees.  hate the place. I'm ust going there to make sure my parents are still alive.,AG
AWWWW I HATE THAT!!!! I had to buy that gadget you can stick your hard drive into to pull them off. SO SUCKS! Sorry. :0(,AG
Praying for your grandmother and your momma. I hate that they are facing so much.,AG
bitch please your gorgeous,AG
i fucking hate that word  hahaha.,AG
i know  haha. 1408 is so gay. i don't even know why i'm watching it.,AG
omg - that sucks arse! I am so sorry =/,AG
Sounds like good times. I'm in the office until 7:00 and then I'll probably go for a run. I'm a fat boy getting fatter.,AG
Ye Olde Cock looks nice.,AG
sure you can  I'll hide the flashlight. go emo go!,AG
emang lagu2nya emo? bukannya mellow? :D,AG
gitu emo jaman dulu ya :D,AG
Listen  RayRay  I gave you the lowdown as soon as I got it. I hadn't heard it b4 and I was shocked. She seems to hate his guts.,AG
I thinks you meant to say that TWILIGHT was epic fail  not your mistake. I hate stephanie meyer and I've never even met her.,AG
lawl. Sucks to be THEM  then.,AG
I'd die first. Damn fareway.,AG
LMAO! He's horrible. The Beatles changed the fucking WORLD! And are still an icon to this day. Who the fuck are you?!?!?,AG
I need to see how this ravin rabids game works first. It'd all have to be in the ass moving. Maybe not moving enough = bad oral?,AG
holy fucking jesus mother  gad damnit WTF? wow.,AG
really? Thank fucking god for sleeping pills!,AG
dude  that pic of you in the Gold 2009 flyer looks like a friggen glamour shot  fag. hearts!,AG
Eff yeah! give @jeffreyparadise and @richiepanic a slap on the ass for me,AG
you are fucking killing me. Please come to a party at my house next time yer in LA. Rice pilaf will be ready,AG
I hate to open the flue after a long fall. We get birds or dead squirrels...totally scary!!!!!,AG
depends on how much you hate fighting w/your light. I read in the car a lot while hub drives  so very worth it to me.,AG
he won't wanna pet the guinea pig?,AG
i'd love to visit (or live) in san diego cause of yr round warm weather. i hate cold so bad. crowds n traf would b my probs there,AG
no prob  but watch out  it's fucking addictive!,AG
re:fuck the creative industries blog post (at squares of wheat):I say:Waaaay too much empty rhetoric there. Be the Change ?,AG
Did...I mention that among my new disciplines are Dementation  Dominate  Presence  and Obtenebration?  I am fucking AWESOME.,AG
I *really* hate housework! Then again  it was great waking up to a clean LR & kitchen! Maybe I should do it more often... :-),AG
I've been wondering that myself. Its been down for quite a damn long time... @tqbf any comment on that?,AG
well damn we should have had a tweet up. I was at Kona last night as well.,AG
ouch! Hope your alright! :S I hate Black Ice  Almost broke my arm on it the other week :P,AG
eeeeew  I wanna cum ;),AG
AAYE!!!  richard gre is NOT gay-re :P,AG
fuck yeah bra,AG
nope can't deny that sweet face or lil schnauzer w/ ears~always wished Hildie had her pig tails~how is cropping still happening?,AG
Hey~~Happy New Year new friend !! enjoy the movie~ think of me when the crazy proff shows up..damn...can't remember his name,AG
#NAME?,AG
GOOD! Now u can bring ur happy lil' ass over here & help me finish hanging this garland.  ;-),AG
Guess there wont be much skidding then. As is said hope you're on the ground floor or everyone will hate Green Grass and High Tides.,AG
The FA50 is a low key ultra here in ATL. It stands for Fat Ass 50K. Loop course  so you could do 25K...Half Ass.,AG
me too!!! I also hate closing then opening then closing shifts that gets me all out of wack.,AG
"says ""no more pizzas for the situation room! or else we will be fat when the war is over...""",AG
hangs longer than u while u lay there on ur ass! 1 day u gonna look back @ these days & ask urself where did ur life go?,AG
I slept horribly. Kepted waking up every hour. Kept tossing and turning. Argh I hate having to work today! Time for cardio!,AG
if you can get me a signed copy of Jordan's book....we'll pull some qoutes during shows.  That guy kicks ass muchos muchos  wow,AG
wErd... you pick out (2) kick ass hip hop songs and we'll doit yo~,AG
hola! Orli ... we are www.LuckyStartups.com looking to interview some kick ass peeps in Israel... you up to it?,AG
yeah  I did that a few months ago. How's your show doing man?? looks kick ass!,AG
Thinking about response/actions. Have decided its not going 2b ideal 4 anyone. Its sticky bc its family. Theres love/hate/dislike,AG
Not talking about incident but more so the attitude that I'm gonna bitch & make a comp do something on a subjective matter.,AG
she doesnt want to scar you for life like i could.  cant talk her into sending you the video of they guy with the jar in his ass.,AG
when can I meet your uncle??? Maybe he could give a wiki demo to our loser peeps!?,AG
what a coincidence! I'm wearing my fat jeans today and it felt like they were my skinny jeans!,AG
sucks  don't it?,AG
doc's a dick.. ill manage without injuring myself.. self inflicted pain would be desperate..which I think I am.. Siiigghhh!!,AG
Agreed!  Twitter showed the way with the whale ;),AG
No- shopping isn't what sucks! It's the crowds that cause the trouble. haha! Love your website btw!!,AG
FUCK YEAH BIOSHOCK! Tell me how the apartment hunt goes!,AG
Merry Christmas to you too  Casey. For tomorrow. Er  or today. Grrr  damn time zones....,AG
Are we going to see an appearance of the 'fuck me' boots? :P,AG
Sounds more reasonable. I hate having to buy 8+ presents for my very small family alone. Soulless Myer gift cards FTW,AG
Wtf. Fuck you,AG
Lawlz. yr a bitch. hoe.,AG
Sorry you bitch punched TEO.,AG
oh no  I always try to make my desk look neat. Fail whale. There are always newspapers piling up  cables are worse!,AG
Funny I always thought Job Security is dependent to how much ass you can kiss? (wait I guess they are one of the same if you think..),AG
Oh I know. It doesn't hurt to have one of the richest woman in the world actually hate you. Elvis had the Memphis Mafia. Oprah...,AG
Lol  I'm not enough of a LOTR nerd to need to install Tolkien fonts. :),AG
it was a good show...dude!  Did you call in gay  rotfl,AG
hmmm....or do they hate you because you didn't let them join in the parranda? Nah  probably the corp council thing,AG
LOL Hon  I have been saying for a while now that this boy will be gay. It really bothers the hubs when I do  so Im tryin 2b good,AG
"lol exactly. ""Hey guys  how about a 13-sided paralellogram? THAT'LL fuck em up!",AG
Yeh  but every nerd like to think he/she is devastatingly good-looking  as revenge on those who snubbed them. Trust me  I kno,AG
Gee  i might if the person running this hadn't been such a bitch to me. I'll focus my efforts elsewhere  thanks.,AG
haha you'd think so right? I AM giving something away though i'm just surprised cause it's that high..my sqz  pg honestly sucks lol,AG
heh i'm a thunking (friggin hate that word - 'thunking' how daft - anyway) - is it a CON?,AG
i just fucking beat you!,AG
HOLY FUCK! that was one tough fucking cow!,AG
yeah i know but its also too bad about the children ya know BECAUsE I FUCKING WON!,AG
Heh  his name's Jeremy (stupid little nerd  but he's up for any challenge.) And he's about to break  anyway.,AG
hippies hate that stuff... too chemical-y. This is true when used in ENORMOUS amounts.,AG
i have to go inside of you tomorrow. i hate myself every time i am in you. i feel cheap and dirty.,AG
#NAME?,AG
"(RT) Fat Bastard (my beagle) is writing his ""tail-all"" confessional diary about online dating...",AG
- Fat Bastard sends hugs for retweet on Austin Girl blog: http://austingirlblog.wordpress.com (need feedback on writing),AG
jizz in my pants is old news nigga. Keep up LOL. instead of doing it locally just come over early and do it here. Fuck local shit,AG
@lastlee...that movie was good...not boring...very gay....but equally good,AG
fuck u and ur early screenings...jealous...prepare for tuesday mash...im coming with woody to freebirds/mash,AG
cant wait to get FUCKED THE FUCK UP,AG
well if they hate you  are they still considered a fan?,AG
I'm kinda meh on it--It wouldn't even be a contest as Madonna would kick his ass while he was running around screaming.,AG
ok I take you off of my hate list and send you hugs  I am in business..this is my alter ego. mwahahah,AG
http://twitpic.com/rt32 - omg :/ sucks to be u. hope u got some good tunes going makes it more delightful to sit through.,AG
it's one thing if it's my friends using it on me  but I hate when 23 year olds message me on OKC and call me that or Older woman,AG
that would be one shocking pussy lol,AG
